Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
spine,SPINE1,Ethernet1,l3leaf,LEAF1A,Ethernet1
spine,SPINE1,Ethernet2,l3leaf,LEAF2A,Ethernet1
spine,SPINE1,Ethernet3,l3leaf,LEAF2B,Ethernet1
spine,SPINE2,Ethernet1,l3leaf,LEAF1A,Ethernet2
spine,SPINE2,Ethernet2,l3leaf,LEAF2A,Ethernet2
spine,SPINE2,Ethernet3,l3leaf,LEAF2B,Ethernet2
l3leaf,LEAF1A,Ethernet1,spine,SPINE1,Ethernet1
l3leaf,LEAF1A,Ethernet2,spine,SPINE2,Ethernet1
l3leaf,LEAF1A,Ethernet10,server,HostA,E1
l3leaf,LEAF1A,Ethernet11,server,HostB,E1
l3leaf,LEAF1A,Ethernet12,server,HostF,E1
l3leaf,LEAF2A,Ethernet1,spine,SPINE1,Ethernet2
l3leaf,LEAF2A,Ethernet2,spine,SPINE2,Ethernet2
l3leaf,LEAF2A,Ethernet10,server,HostC,E1
l3leaf,LEAF2A,Ethernet11,server,HostE,E1
l3leaf,LEAF2A,Ethernet47,mlag_peer,LEAF2B,Ethernet47
l3leaf,LEAF2A,Ethernet48,mlag_peer,LEAF2B,Ethernet48
l3leaf,LEAF2B,Ethernet1,spine,SPINE1,Ethernet3
l3leaf,LEAF2B,Ethernet2,spine,SPINE2,Ethernet3
l3leaf,LEAF2B,Ethernet10,server,HostC,E2
l3leaf,LEAF2B,Ethernet11,server,HostD,E1
l3leaf,LEAF2B,Ethernet47,mlag_peer,LEAF2A,Ethernet47
l3leaf,LEAF2B,Ethernet48,mlag_peer,LEAF2A,Ethernet48
